Feature,Importance
Churn_Numeric,0.6347710977817965
RevenuePerService,0.050181936847208966
ChargeToServiceRatio,0.04271297152106217
TenureGroup,0.03476229187750805
HighRiskPayment,0.02727547139470681
TenureBin,0.02613965674987562
tenure,0.02510815261237986
Contract_Two year,0.02429181915660846
InternetService_Fiber optic,0.018044030391805427
PaperlessBilling,0.01364371234862613
MonthlyCharges,0.012707690631636757
TotalCharges,0.011179606981341827
PaymentMethod_Electronic check,0.01032536226705739
AvgMonthlySpend,0.01017531753339966
Contract_One year,0.008990944680829865
Dependents,0.006842869429351697
InternetService_No,0.004563113775992618
OnlineSecurity,0.004260404146845168
TotalServices,0.004127626170423197
Partner,0.0038778859403867426
TechSupport,0.0030076734086631756
StreamingTV,0.002774739395240133
MultipleLines_Yes,0.002762441749123007
gender,0.002732861283186537
PaymentMethod_Credit card (automatic),0.0025906886407841925
StreamingMovies,0.0025266123488808224
OnlineBackup,0.002068350985275237
SeniorCitizen,0.002029457948000981
PaymentMethod_Mailed check,0.0018086891811224513
DeviceProtection,0.0012483350892765
HasSecurityServices,0.0009400715620272614
PhoneService,0.0008940575902798833
MultipleLines_No phone service,0.0006340585792969581
